rule_id,rule_version,prevented_count,not_prevented_count,not_applicable_count,coverage_density
GR-008,2,17,0,46,0.26984127
GR-001,1,16,0,47,0.253968254
GR-005,2,14,0,49,0.222222222
GR-004,1,9,0,54,0.142857143
GR-002,1,6,0,57,0.095238095
GR-007,1,3,0,60,0.047619048
GR-006,1,2,0,61,0.031746032
GR-003,1,0,0,63,0
